comment
"パニック障害が酷かった頃、高速道路を走行中の助手席で突然ドアを開けて飛び出したい衝動に駆られたことが何度もありました。
今は症状もほぼ無くなりましたが、パニック障害経験者の方にしか分からない苦悩苦痛は、これからも消えることは無いと思いながら毎日を過ごしています。
この方がパニック障害だったのかは分かりませんが、なにかしら精神状態が不安定だったのかなと思います。
どうかご無事であります様に。"
"私もパニック障害かあるいはうつだったのかな、って思いますつまり正月休みが終われば休みの終わる会社もあるし特に役所は4日からです。
仕事行くのが嫌でって言う事もあるのかな、その事は本人か妻が鍵を握っているのでは、と、思いますが。とにかくご家族にとって悲惨な出来事でした。"
"私も助手席に乗っていて、ドアをあけ飛び出したいという衝動に駆られたことがあります。私が家にスマホを忘れてしまいまい運転中の夫から「なんでいつも身に付けないのか、だからダメなんだ」とイライラした口調で言われ、私の存在自体を否定されたかのように感じてしまいました。私は｢必要とされてないんだ…居なくなればいいんだ｣という感情にのみこまれ、ドアを開けて飛び出したいな、と思ってしまいました。今思えば認知の歪みが起きていますね。
この男性の詳しい状況はわかりませんが、精神状態はどうだったのでしょうか…どうかご無事でありますように。"
"もちろん事故・事件ではあるけれど、無関係の第3者を傷つけたわけではないようですし（迷惑をかけていないわけではないですが）、こういう時はもう少し状況がわかってから報道してもいいんじゃないかなと、少し思ってしまいました。
お子さんの目の前で起こったわけですし。"
"事の次第がハッキリしてくるまで、
こういう案件にはうかつにコメントを書くべきじゃないと思う。
家族だってまさかの事で気持ちが動転してると思うし、
憶測で、追い込んじゃいけない人間まで追い込むような言葉は、
極力避けなきゃ。"
"この前女性が飛び降りて後続車に轢き逃げされた時は、どんな理由があろうと運転手は搭乗者の安全を守る義務があるとか言ってめちゃくちゃ責められてたよね
飛び降りた後見殺しにしたことを除いて、飛び降りたのは運転手の責任だと言われていたはず
この場合女性が運転手だったなら理由がどうあれ責任があるのではないのかね"
父は双極性障害で躁状態の時に走行中の車のドアを開けたため、それ以来チャイルドロックがかけられたことがありました。この方も心の病気だった可能性もありますね。
その気持ちが良くわかります。私もパニック障害で今でも苦しんでます。なかなか理解してもらえないのですが、発作が起こるとすぐに死んで楽になりたいと思います。
昔、タミフルの副作用とかで若者が突如、窓から飛び降りたとかの変な副作用が有りましたけど、今でも使用されているのかなぁ?　今回のケースに付いては、それが原因かどうかは定かではないけれど、一瞬、その事を思い出しました。
お正月だし旦那さん酔っていたのかもね？奥さん運転してるし。奥さんの連れ子でもない限り旦那さんの年齢的に子供達はまだ小さいだろうし、こんな理由でパパをなくしたら可哀想。後遺症なく助かると良いですね。
"これだけの情報ではどちらが悪いとか簡単に書くことはできませんね。
どちらにしても、無理やり下ろすということは不可能だから、自らおりたことにまちがいはないだろうけど。
シートベルトも自らしてなかったことになるしね。"
"ドアロックしてから発車するように自動車学校で教えていた。
タクシーだって客が勝手に開けない様にロックされている。
これは運転者の不注意でしかない。"
"ドライブレコーダーは、ついてなかったのかなぁ～？
飛び降り前後の会話とか録音されていたら手がかりになるから、ついてると良いけど・・・。最初は、夫婦喧嘩して飛び降りたのかと思ったんだけどねぇ。
病気とかでも、子供達の前で、そんな怖いことすることがあるんだって初めて知って、コメント読んでビックリした。"
スライドドアでなければ走行中のドアを開けるには、かなりの力が必要になります。軽い気持ちで開けようとしても無理です。
"閉所恐怖症なのか、パニックのやつか
わからんが、狭い車とか、バスとか足が
自由に伸ばせない空間に長時間居ると、
今すぐ出してくれーってなる。"
色んな事が考えられますので何とも言えませんが、思ったのはドアが開いたらまずは急ブレーキでしょう。多少は落ちてもダメージは軽減できます。
"何があったんだろう。
お子さんも見てただろうし、ショックを受けてるでしょう。
とにかく、男性が回復しますように。"
後続車に轢かれなくてよかった。子どものトラウマにならないように無事回復して欲しい。
"お酒に酔っていて、「ちょっとトイレ」みたいな感じかな？？

子どもが4人も車内に居て、怖かったろうに…。"
"走行中に助手席からドアロック解除してドア開けるってかなりの力がいるじゃん。
喧嘩でもしたのか？"
警察や相手家族から余計な詮索されないためにも360度ドラレコは必要だな。
シートベルト外して？　車の中で何が有ったのか、逃げ出したいほど追い詰められたのかも。
"配置が謎だな
大人2子供4なら大人は助手席に乗らんと思うのだが"
"理解不能な事件や事故が近年、多いな。
世の中、おかしくなってる証拠です。"
"これは、子どもたちに対して
精神的ケア　が必要ですね。"
走行中のクルマのヒンジドアを風圧に逆らって開けるのってけっこー大変なんだけどね。何をやらかしたやら。
警察に捕まると思い咄嗟に行動してしまったのだろう。こんなんで死なないでほしい。
本人もそうだけど、奥さんや子供の心情は計り知れない。
そんなことあるのか？何か揉めていたわけでもなくいきなり？そんなの歴代のニュースでもお目にかかったことないけどな。よくあるの？
何があったのか、これだけの情報ではよく分からない。
お告げが聞こえて緊急脱出したのか？それぐらい理由がよく分からない案件。
戦闘機だったら、緊急脱出してもパラシュートで助かるだろうけど。
子供4人を背負う事になった奥さんも大変だ
間違ってドアを開けたなんてあるのかな、家族を楽しませたくて飛び降りたとか、わからん。
人生いろいろ辛くなること多いよな
きまぐれオレンジロードが原因じゃないといいが・・・
乗員構成と車種にもよるけど、6人乗車って。。。
走行中の車のドアって、ロックが掛かるものだと思ってた…。
"どうしてー？
子供たちもまだ小さいでしょうに。
奥さん、びっくりしたってもんじゃないよね…

ほんま、なぜ。"
浮気の告白や離婚を切り出されたとかかな？
">「（助手席にいた夫が）急に飛び降りた」

続報が気になる事件ですね。"
原因は大喧嘩なのかな、子供がかわいそう。
"26歳で「夫婦と子供の家族６人」って
子供が４人もいるの！？"
"26歳の夫で子供4人か・・・

それも後部座席に子供だけだから、乳児はいないはず。"
幻覚症状が出た、とかないですよね…
シートベルトしてなかったの。
続報がないと何もわからん…
ひどい記事の内容。コメントつけるやめてほしいな。
26歳で子供4人とは大変そうだ
原因は何だったのだろう、、
夫婦喧嘩しか思い浮かばない。
"26歳で４児のパパ
一体、何があったんでしょう・・・"
ワクチン関係なければよいです。
仕事始めを迎えたく無かったとか？
色んな事情があるにしろ、子供の前でやっちゃあかんやろ。
怖い
"２６歳で４人の父親？
女性の年齢の記載がない・・・"
なにが原因なんだろね。
謎すぎる
大きな子供だなあ。
なるほどわからん
トラウマになる
訳がわからんな。
推理が好きな人ばかりでおもろいな
なんなん
山崎製パンで働いてますがバイトできた少年にちょと注意したら急に支離滅裂な事を言い出して現場から出ていきました！後で聞いたらパニック障がい者でした！現場に来て10分の出来事でした驚き！あれでは就職は無理だな！
理由はワカランが、彼には死ぬ動機があり死ぬ理由が有るのでしょ。「自殺はいけない」などと、それを止めるような無責任な発言が私はできません。私はその人の人生を負えない。負う気が無いからです。…ただ願わくば子供たちの見てない処で。
よくよく同乗していた家族から事情を聴くと、相応の理由がありそう。いくらなんでも”急に飛び降りる”までに車に乗る前後から何かしらは、あったでしょ。
"カップルの次は家族での惨事かぁ。
想像力や想定力の欠如が招く、稚拙な事故・事件ですね。"
"パニックになったか、お酒が入ってたのかな
問題なかったら夫のほうが運転してそうなので"
"も少し状況が判明してからコメントしてもいいでしょう。
やれ病気だ、やれ飲酒だ、やれ免許がない、下世話な井戸端コメントにはウンザリです。"
"生命保険に入っていてほしい
せめて子どもたちにお金残して!!"
"26歳で子供が4人というのが、すごいと思った
メンヘラさんを車に乗せるのは怖いな"
"いろんな可能性はあるよね
夫が精神疾患持ちかもしれんし
車内で嫁が暴言吐いたかもしれんし
これから分かることだろうけど…"
いかにも、な嫁の場合は事件性も考えた方が良い。
26歳で子供の家族が6人もいるとかどんな家族構成だ
２６歳で子供４人これからどうする。無責任すぎやしないか御主人。酔っての行動か？
"うちの旦那もやりそうだわw
ヒステリックな性格って後先考えないからー"
自殺なのかなあま……可哀想に残された家族が
奥さんから逃げたかったのでしょう！
パニック障害は免許なし
26で子供４人も居て死んだらダメだろ、生きろ！
26歳で子供が4人か
ワイルドだね～
嫁が毒で耐えられなかったのか。
夫婦喧嘩にでもなって飛び降りたか？
事件の匂いがする
"自殺か？
もったいない！"
甲賀だから忍者の血が騒いでたんだろ
鬱だな
尻に敷かれてたのか。
覚せい剤でもやってた？
